player,player_id,team,position,age,rookie,war_mean_2021,war_mean_2022,war_mean_2023,war_mean_2024,war_mean_2025,5_year_WAR,2021_category
Luka Doncic,doncilu01,Mavericks,SG,21.927446,,11.8,13.1,13.3,13.4,12.5,64.1,MVP CANDIDATE
James Harden,hardeja01,Rockets,SG,31.436003,,16.1,13.1,13.7,11.4,9.2,63.5,MVP CANDIDATE
Nikola Jokic,jokicni01,Nuggets,C,25.952087,,12.5,12.5,11.7,10.3,9.4,56.4,MVP CANDIDATE
Jayson Tatum,tatumja01,Celtics,SF,22.918549,,10.2,11.3,11.1,10.5,10.3,53.4,ALL-STAR
Giannis Antetokounmpo,antetgi01,Bucks,SF,26.157427,,9.9,11.7,11.6,9.7,10.3,53.2,ALL-STAR
Anthony Davis,davisan02,Lakers,PF,27.895962,,11.8,10.1,10.2,8.9,8.7,49.8,MVP CANDIDATE
Kawhi Leonard,leonaka01,Clippers,SF,29.596167,,11.4,9.7,8.5,8.6,8.2,46.4,MVP CANDIDATE
Karl-Anthony Towns,townska01,Timberwolves,C,25.215607,,10.2,9.4,9.1,8.5,6.9,44.1,ALL-STAR
Trae Young,youngtr01,Hawks,PG,22.370979,,8.6,9.7,7.8,8.5,8.3,42.9,ALL-STAR
Joel Embiid,embiijo01,76ers,C,26.882957,,9.5,9.4,8.8,7.6,7.1,42.4,ALL-STAR
Ben Simmons,simmobe01,76ers,SG,24.536619,,8.0,8.7,8.7,8.2,7.6,41.3,ALL-STAR
Rudy Gobert,goberru01,Jazz,C,28.602327,,10.2,9.2,7.7,7.0,6.8,41.0,ALL-STAR
Damian Lillard,lillada01,Trail Blazers,PG,30.551678,,10.6,9.1,8.1,7.0,5.2,39.9,ALL-STAR
Jamal Murray,murraja01,Nuggets,PG,23.939768,,7.7,7.7,7.3,6.7,6.5,35.9,ALL-STAR
Paul George,georgpa01,Clippers,SF,30.754278,,9.5,8.0,7.1,6.0,4.3,34.9,ALL-STAR
Jimmy Butler,butleji01,Heat,SG,31.383984,,8.9,7.5,6.8,5.2,3.9,32.3,ALL-STAR
LeBron James,jamesle01,Lakers,SF,36.090347,,11.3,8.0,4.8,4.0,2.5,30.5,ALL-STAR
Kristaps Porzingis,porzikr01,Mavericks,PF,25.50308,,6.4,6.2,6.6,6.0,5.3,30.4,BORDERLINE ALL-STAR
Deandre Ayton,aytonde01,Suns,C,22.529774,,5.4,5.9,5.9,6.2,5.8,29.2,FUTURE ALL-STAR
Kemba Walker,walkeke02,Celtics,PG,30.73785,,8.5,7.1,5.6,4.5,3.0,28.8,ALL-STAR
Shai Gilgeous-Alexander,gilgesh01,Thunder,SG,22.559891,,5.4,5.9,6.0,5.9,5.5,28.7,FUTURE ALL-STAR
Lonzo Ball,balllo01,Pelicans,SG,23.266256,,5.8,5.8,6.1,5.4,5.4,28.4,FUTURE ALL-STAR
Jaylen Brown,brownja02,Celtics,SF,24.273785,,6.0,5.9,5.4,5.2,4.8,27.4,BORDERLINE ALL-STAR
De'Aaron Fox,foxde01,Kings,PG,23.118412,,5.8,5.9,5.5,5.1,5.1,27.3,BORDERLINE ALL-STAR
Marcus Smart,smartma01,Celtics,SG,26.910336,,7.0,6.2,5.6,4.6,3.6,27.0,BORDERLINE ALL-STAR
Kyrie Irving,irvinky01,Nets,PG,28.862423,,7.1,5.7,5.8,4.7,3.2,26.4,BORDERLINE ALL-STAR
Zion Williamson,willizi01,Pelicans,PF,20.574949,,4.0,5.8,4.7,5.6,6.2,26.3,FUTURE ALL-STAR
Jonathan Isaac,isaacjo01,Magic,PF,23.331964,,4.4,5.3,5.5,5.5,5.5,26.2,UP-AND-COMER
Devin Booker,bookede01,Suns,SG,24.257359,,5.7,5.6,4.6,4.8,4.9,25.7,BORDERLINE ALL-STAR
Jrue Holiday,holidjr01,Bucks,SG,30.642027,,7.9,6.3,4.7,3.7,2.6,25.3,ALL-STAR
Donte DiVincenzo,divindo01,Bucks,SG,24.002737,,5.0,5.2,5.2,5.1,4.7,25.2,FUTURE ALL-STAR
Bam Adebayo,adebaba01,Heat,C,23.542778,,5.1,5.3,4.9,4.9,4.2,24.4,BORDERLINE ALL-STAR
Stephen Curry,curryst01,Warriors,PG,32.887062,,7.4,6.3,4.6,3.4,2.3,24.0,BORDERLINE ALL-STAR
Tyrese Haliburton,halibty01,Kings,PG,20.922655,1,2.2,4.5,5.1,5.9,6.1,23.7,GREAT PROSPECT
Donovan Mitchell,mitchdo01,Jazz,SG,24.402464,,5.2,5.4,4.6,4.3,4.3,23.7,BORDERLINE ALL-STAR
Fred VanVleet,vanvlfr01,Raptors,SG,26.934977,,6.0,5.4,4.9,4.0,3.1,23.4,BORDERLINE ALL-STAR
Derrick White,whitede01,Spurs,PG,26.587269,,5.4,5.1,4.8,4.2,3.9,23.4,BORDERLINE ALL-STAR
Tyler Herro,herroty01,Heat,SG,21.034908,,3.6,4.4,4.8,5.0,5.4,23.2,FUTURE ALL-STAR
Michael Porter Jr.,portemi01,Nuggets,PF,22.595482,,4.1,4.6,5.0,4.9,4.6,23.2,UP-AND-COMER
Clint Capela,capelca01,Hawks,C,26.710472,,5.9,4.9,4.8,4.4,3.2,23.2,BORDERLINE ALL-STAR
Kyle Lowry,lowryky01,Raptors,PG,34.858315,,8.5,7.0,4.0,2.1,1.5,23.1,ALL-STAR
Mikal Bridges,bridgmi01,Suns,SF,24.424366,,5.0,4.8,4.6,4.4,4.1,23.0,UP-AND-COMER
Brandon Ingram,ingrabr01,Pelicans,SF,23.416838,,4.8,4.9,4.9,4.2,4.1,22.9,UP-AND-COMER
Domantas Sabonis,sabondo01,Pacers,C,24.750172,,5.1,4.9,4.6,4.0,3.7,22.3,UP-AND-COMER
Ja Morant,moranja01,Grizzlies,PG,21.481176,,3.6,4.1,4.4,4.4,4.7,21.2,UP-AND-COMER
Pascal Siakam,siakapa01,Raptors,PF,26.836414,,5.4,4.7,4.4,3.7,2.9,21.1,AVERAGE STARTER
Bradley Beal,bealbr01,Wizards,SG,27.597536,,6.0,5.3,4.3,3.3,2.1,21.0,BORDERLINE ALL-STAR
Jaren Jackson Jr.,jacksja02,Grizzlies,C,21.382614,,2.7,4.1,4.3,4.8,4.9,20.8,UP-AND-COMER
Isaac Bonga,bongais01,Wizards,SG,21.23477,,2.4,4.1,4.5,4.7,4.7,20.5,UP-AND-COMER
Khris Middleton,middlkh01,Bucks,SF,29.475702,,5.9,5.0,3.9,3.0,2.4,20.3,BORDERLINE ALL-STAR
Robert Covington,covinro01,Trail Blazers,PF,30.135523,,6.3,4.9,4.0,2.9,2.1,20.3,BORDERLINE ALL-STAR
Nikola Vucevic,vucevni01,Magic,C,30.275154,,6.0,4.8,4.1,3.1,2.2,20.3,BORDERLINE ALL-STAR
Matisse Thybulle,thybuma01,76ers,SF,23.915127,,4.1,4.2,4.1,3.9,3.7,20.1,UP-AND-COMER
Mitchell Robinson,robinmi01,Knicks,C,22.839151,,4.4,3.6,4.2,3.7,3.2,19.1,UP-AND-COMER
Jarrett Allen,allenja01,Nets,C,22.784393,,4.3,3.9,3.9,3.6,3.1,18.8,UP-AND-COMER
De'Anthony Melton,meltode01,Grizzlies,SG,22.683094,,3.3,3.8,4.0,4.1,3.4,18.6,UP-AND-COMER
OG Anunoby,anunoog01,Raptors,SF,23.545517,,3.9,3.9,3.7,3.5,3.0,18.0,UP-AND-COMER
Devonte' Graham,grahade01,Hornets,PG,25.943874,,4.3,3.9,3.6,3.2,2.7,17.8,AVERAGE STARTER
Markelle Fultz,fultzma01,Magic,SG,22.680355,,2.8,3.6,3.4,3.9,3.9,17.7,UP-AND-COMER
James Wiseman,wisemja01,Warriors,C,19.841204,1,0.9,3.2,4.2,4.5,4.9,17.7,GREAT PROSPECT
Jakob Poeltl,poeltja01,Spurs,C,25.30048,,3.8,4.0,3.6,3.1,3.0,17.5,KEY ROLE PLAYER
D'Angelo Russell,russeda01,Timberwolves,PG,24.94182,,3.8,4.0,3.5,3.3,2.8,17.4,UP-AND-COMER
Chris Paul,paulch01,Suns,PG,35.742641,,7.2,4.3,2.9,1.8,1.1,17.3,BORDERLINE ALL-STAR
Dejounte Murray,murrade01,Spurs,PG,24.36961,,3.4,3.6,3.7,3.2,3.0,16.9,UP-AND-COMER
Jusuf Nurkic,nurkiju01,Trail Blazers,C,26.444901,,4.1,4.0,3.5,2.9,2.5,16.9,KEY ROLE PLAYER
Anthony Edwards,edwaran01,Timberwolves,SF,19.493496,1,0.5,2.7,4.5,4.7,4.4,16.9,GREAT PROSPECT
